Timestamp,"1. Do you have a social media account? (e.g., Facebook, Twitter, etc.)",2. Which social media account do you use usually?,3. Which device do you usually use to connect social media?,4. Which type of internet connection do you use?,5. How long have you been using a social media account?,6. How frequently do you post (upload status or add photos/videos) on social media? ,7. How much time do you spend daily in social media?,8. When do you usually use social media?,9. How many friends do you have on social media?,10. How many friends do you know personally in social media? ,11. How many groups you are tagged in social media?,12. What is your main purpose for using social media (e.g. Facebook)?,13. What contents do you mainly look for in your social media news feed?,14.Do you believe social media is a good thing?,"15. When you see something in social media, do you instantly believe it?",16. Have you ever experienced peer pressure due to social media?,"17. Does your emotion get influenced by other's posts (success, failure, loss)? ",18. Have you ever compared yourself with other’s success or luxurious life?,"19. Do you think, your mental wellbeing would be better if you do not use social media?","20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?",21. Please write your age in years (number).,22. Gender,23. Marital Status,24. Religion,25. Education,26. Profession,27. Monthly income,28. Area of residence,29. Living with-,30. Body weight (Kg),31. Height (m),32. Smoking habit,"1. In the past 30 days, do you feel lack of companionship?","2. In the past 30 days, there is no one I can turn to","3. In the past 30 days, I feel left out.","4. In the last 30 days, I feel isolated from others.","5. In the last 30 days, I am unhappy being so withdrawn.","6. In the last 30 days, people are around me but not with me.","7. In the last 30 days, I am an outgoing person.","8. In the last 30 days, I can find companionship when I want it.","1 In the last 30 days, little interest or pleasure in doing things.","2. In the last 30 days, feeling down, depressed or hopeless.","3. In the last 30 days, trouble falling or staying asleep, sleeping too much","4. In the last 30 days, Feeling tired or having little energy.","5. In the last 30 days, poor appetite or over-eating.","6. In the last 30 days, feeling bad about yourself-or that you are a failure or have let yourself or your family down.","7. In the last 30 days, trouble concentrating on things, such as reading the newspaper or watching television.","8. In the last 30 days, moving or speaking so slowly or the opposite-moving around a lot more than usual.","9. In the last 30 days, thoughts that you would be better off dead, or of hurting yourself.","1. In the last 30 days, I am feeling nervous, anxious, or on edge","2. In the last 30 days, I an not being able to stop or control worrying","3. In the last 30 days, I am worrying too much about different things.","4. In the last 30 days, I felt trouble in relaxing.","5. In the last 30 days, I am being so restless that it's hard to sit still","6. In the last 30 days, I becoming easily annoyed or irritable.","7. In the last 30 days, I am feeling afraid as if something awful might happen.",1. When I am usually gone to bed?,2. How long (in minutes) has it taken you to fall asleep each night?,3. When have you usually gotten up in the morning?,4. How many hours of actual sleep do you get at night?,5.  How many hours were you in bed?,"6. In last 30 days, How many times, I cannot get to sleep within 30 minutes?","7. In last 30 days, How many times, I wake up in the middle of the night or early morning?","8. In last 30 days, How many times, I had to get up to use the bathroom?","9. In last 30 days, How many times, I cannot breathe comfortably?","10. In last 30 days, How many times, I cough or snore loudly?","11. In last 30 days, How many times, I feel too cold?","12. In last 30 days, How many times, I feel too hot?","13. In last 30 days, How many times, I saw bad dreams?","14. In last 30 days, How many times, I have pain during sleep?","15. In last 30 days, How many times, I having trouble sleeping for any other reason?","16. In last 30 days, In last month, have you take medicines for sleep?","17. In last month, how many times you cannot sleep due to any program or other important case?","18. In last month, how many times you face problems to maintain program or other important case?","19. During the past month, how would you rate your sleep quality overall?"
2021-03-05 17:56:35.933,Yes,Facebook,Desktop,Broadband (Wi-Fi),,1-2 per day,1-3 hours,Evening,500-2000,Many of them,5-10,To make new friends,Get pleasure from funny posts/ memes,Yes,Yes,Yes,Not at all,Never,No,Not trying,17.0,Male,Unmarried,Muslim,Primary level,Unemployed including students,,Rural Area,,40.0,1.5494,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Often,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,Within 5.00 AM,4-6 hours,5-7 hours,Not during last month,Once or twice a week,Once or twice a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,,,Not during last month,,Very good
2021-03-01 14:59:40.070,Yes,Snapchat,Mobile Phone,Mobile data,Less than 2-year,More than 5 per day,More than 5 hours,Evening,Less than 500,All of them,,For time pass,To stay connected with people,,Yes,Yes,Sometimes,,No,,16.0,Female,,Muslim,,Unemployed including students,No income,Rural Area,,40.0,1.5494,Non-smoker,Rarely,Never,Never,Rarely,Never,,Often,Often,Nearly everyday,Not at all,Not at all,Half of days,Several days,Not at all,Not at all,Not at all,Not at all,Nearly everyday,Several days,Several days,Not at all,Several days,Several days,Several days,,Within 15 minutes,7.01 AM to 9.00 AM,4-6 hours,5-7 hours,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,Once or twice a week,Less then once a week,Less then once a week,,Not during last month,Not during last month,Farely good
2021-03-01 20:39:26.229,Yes,Facebook,Mobile Phone,,Less than 2-year,1-2 per day,More than 5 hours,Frequently at anytime,Less than 500,Many of them,5-10,For time pass,Updates of people,,No,Yes,Not at all,Never,Yes,Trying to reduce the use,18.0,Female,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,40.0,1.5494,Non-smoker,Rarely,,Never,Sometimes,Never,Rarely,Never,Rarely,Several days,Half of days,Half of days,Several days,Several days,Several days,Several days,Not at all,Not at all,Several days,Half days,Half days,Several days,Several days,Several days,Several days,10.01 PM to 12.00 AM,More than 60,5.01 AM to 7.00 AM,7-8 hours,8-10 hours,Less then once a week,Less then once a week,Three or more in week,Less then once a week,Not during last month,Less then once a week,,Not during last month,Not during last month,Once or twice a week,Less then once a week,Less then once a week,Less then once a week,Very good
2021-03-01 07:18:05.038,Yes,Facebook,Tablet,Broadband (Wi-Fi),Less than 2-year,1-2 per day,1-3 hours,,Less than 500,Few of them,Less than 5,For time pass,Get pleasure from funny posts/ memes,Yes,Yes,No,Sometimes,All the times,,Trying to reduce the use,16.0,Female,Unmarried,Muslim,,Unemployed including students,,Urban Area,With family,40.0,1.5494,Non-smoker,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,,Several days,Several days,Not at all,Several days,Several days,,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,More than 77,7.01 AM to 9.00 AM,7-8 hours,,Not during last month,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Not during last month,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Not during last month,Very good
2021-02-21 22:55:26.013,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,3-5 hours,Afternoon,Less than 500,Most of them,Less than 5,To stay connected with people,Motivational/ informative contents,No,No,No,Sometimes,Most of the times,Yes,Trying to reduce the use,25.0,Female,Unmarried,Muslim,Masters or above,Student ,No income,Urban Area,,42.0,1.5748,Non-smoker,Rarely,Rarely,Never,Never,Never,,Sometimes,Often,Several days,,Several days,Several days,Several days,Several days,Several days,Not at all,Not at all,Several days,Half days,Half days,Several days,Several days,,Several days,,More than 120,7.01 AM to 9.00 AM,4-6 hours,8-10 hours,,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,Not during last month,,Not during last month,Not during last month,Not during last month,Farely good
2021-02-15 20:35:14.730,Yes,,Mobile Phone,Broadband (Wi-Fi),2-5 years,More than 5 per day,More than 5 hours,Night to late night,Less than 500,Most of them,More than 20,Running business,Motivational/ informative contents,No,No,Yes,Sometimes,Most of the times,No,Trying to reduce the use,,,Married,Muslim,Graduate Level,Self-employed/Entrepreneur/Business,No income,Rural Area,With family,45.0,1.6256,Non-smoker,Rarely,Sometimes,Sometimes,Rarely,Often,Never,Rarely,Sometimes,Several days,Several days,Half of days,Nearly everyday,Several days,,Half of days,Not at all,Not at all,Not at all,Nearly everyday,Nearly everyday,Several days,Several days,,Nearly everyday,12.01 AM to 2.00 AM,Within 15 minutes,After 9.00 AM,Less than 4 hours,8-10 hours,Not during last month,Once or twice a week,Less then once a week,Once or twice a week,Not during last month,Not during last month,Less then once a week,Once or twice a week,Less then once a week,Not during last month,Not during last month,Once or twice a week,Once or twice a week,Farely good
2021-03-03 21:32:54.890,,Facebook,Mobile Phone,Mobile data,2-5 years,1-2 per day,Less than 1 hour,,Less than 500,,Less than 5,For time pass,Updates of people,Yes,No,No,Not at all,Never,Yes,Trying to reduce the use,20.0,Female,Married,,Secondary Level,,No income,Rural Area,With family,41.0,1.5494,Non-smoker,Never,Never,Never,Never,,Never,Never,Never,Several days,Several days,Several days,Several days,,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Half days,Several days,Half days,Several days,Several days,10.01 PM to 12.00 AM,More than 148,,7-8 hours,8-10 hours,,Not during last month,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Farely good
2021-03-06 18:56:12.412,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),,Less than 1 per day,1-3 hours,,Less than 500,Few of them,Less than 5,For time pass,Updates of current affairs/news,Yes,Yes,Yes,Always,Most of the times,Yes,Trying to reduce the use,20.0,Male,Unmarried,Muslim,Secondary Level,,No income,,With family,44.0,1.6001999999999998,Smoker,Never,Never,Never,Rarely,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Several days,,Not at all,,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,,Very good
2021-02-20 21:11:18.146,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,More than 5 per day,More than 5 hours,Night to late night,Less than 500,Few of them,Less than 5,For time pass,Get pleasure from funny posts/ memes,No,No,Yes,Always,Most of the times,Yes,Trying to reduce the use,25.0,Female,Married,Muslim,Masters or above,Unemployed including students,No income,Urban Area,With family,40.0,,Non-smoker,Often,Sometimes,Never,Never,Never,,,Sometimes,Nearly everyday,Nearly everyday,Nearly everyday,Half of days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,,Not at all,Not at all,Nearly everyday,Not at all,10.01 PM to 12.00 AM,16-30,Within 5.00 AM,4-6 hours,5-7 hours,Less then once a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Not during last month,Not during last month,,Not during last month,Not during last month,,Not during last month,Very good
2021-03-01 21:10:12.465,Yes,,Mobile Phone,Broadband (Wi-Fi),2-5 years,Less than 1 per day,More than 5 hours,Frequently at anytime,Less than 500,Most of them,More than 20,For time pass,To stay connected with people,Yes,No,Yes,Sometimes,Never,No,Trying to reduce the use,25.0,Female,Unmarried,Muslim,Graduate Level,Self-employed/Entrepreneur/Business,,Urban Area,With family,40.0,1.524,Non-smoker,Rarely,,Sometimes,Rarely,,Sometimes,Sometimes,Sometimes,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Several days,,Not at all,Not at all,Not at all,Not at all,,16-30,7.01 AM to 9.00 AM,,8-10 hours,Once or twice a week,,Three or more in week,Not during last month,Less then once a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,Once or twice a week,Farely good
2021-02-21 02:05:07.122,,Instagram,Mobile Phone,Broadband (Wi-Fi),,Less than 1 per day,1-3 hours,Frequently at anytime,Less than 500,Most of them,Less than 5,For time pass,Updates of people,Yes,Yes,Yes,Sometimes,All the times,Yes,Trying to reduce the use,25.0,Female,Unmarried,Muslim,Graduate Level,Private job,"10,000-40,000 Tk",Urban Area,With family,40.0,1.524,Smoker,Rarely,Often,Rarely,Never,Sometimes,Rarely,Sometimes,,Several days,,,Half of days,Half of days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,12.01 AM to 2.00 AM,,After 9.00 AM,7-8 hours,8-10 hours,Once or twice a week,Less then once a week,Once or twice a week,Less then once a week,Less then once a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Farely good
2021-02-20 21:50:04.843,Yes,Facebook,Mobile Phone,Mobile data,5-10 years,Less than 1 per day,1-3 hours,Frequently at anytime,500-2000,Most of them,10-20,To stay connected with people,Updates of people,Yes,No,No,Sometimes,Most of the times,No,Not trying,24.0,,Married,Muslim,Masters or above,Unemployed including students,No income,Rural Area,With family,40.0,1.524,Non-smoker,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Often,Several days,,Not at all,Half of days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,,Several days,,12.01 AM to 2.00 AM,16-30,7.01 AM to 9.00 AM,7-8 hours,8-10 hours,Less then once a week,Three or more in week,Three or more in week,,Once or twice a week,Not during last month,,Less then once a week,Not during last month,Not during last month,Less then once a week,Less then once a week,Less then once a week,Very good
2021-03-01 09:37:57.864,Yes,,Mobile Phone,Mobile data,5-10 years,3-5 per day,3-5 hours,Frequently at anytime,Less than 500,All of them,5-10,,Updates of people,Yes,No,No,Not at all,Never,Yes,Trying to stop the use,19.0,Female,Married,,Secondary Level,Housewife,No income,,With family,47.0,1.651,Non-smoker,,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Several days,Several days,Half of days,Several days,,Not at all,,Not at all,Not at all,Several days,,Several days,Several days,Several days,Not at all,Several days,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Less then once a week,,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,Not during last month,Very good
,Yes,,Tablet,Broadband (Wi-Fi),5-10 years,3-5 per day,1-3 hours,Evening,,,10-20,For time pass,To stay connected with people,No,No,No,Not at all,,No,Trying to reduce the use,30.0,Female,Married,Muslim,Graduate Level,Housewife,No income,Urban Area,With family,46.0,,,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Several days,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,8.00 PM to 10.00 PM,31-60,Within 5.00 AM,4-6 hours,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,Not during last month,Not during last month,,Very good
2021-02-17 18:02:15.985,Yes,Facebook,,Broadband (Wi-Fi),5-10 years,Less than 1 per day,3-5 hours,Frequently at anytime,500-2000,Most of them,5-10,To stay connected with people,To stay connected with people,Yes,No,No,Sometimes,Never,Yes,Trying to reduce the use,25.0,Female,Married,Hindu,Masters or above,,No income,Urban Area,With family,65.0,1.9304,Non-smoker,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Half of days,Several days,Not at all,Several days,Several days,Several days,Not at all,Several days,Not at all,Several days,Several days,Several days,Several days,Several days,Several days,,,16-30,,4-6 hours,8-10 hours,Less then once a week,Once or twice a week,Less then once a week,Not during last month,Not during last month,Once or twice a week,Not during last month,,Once or twice a week,Once or twice a week,Not during last month,Three or more in week,Once or twice a week,Farely good
2021-03-05 13:58:38.091,Yes,Twitter,Tablet,Broadband (Wi-Fi),2-5 years,1-2 per day,1-3 hours,Frequently at anytime,500-2000,Many of them,,To stay connected with people,,Yes,,No,,All the times,Yes,Trying to stop the use,18.0,Female,Unmarried,Buddho,Secondary Level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Rural Area,With family,45.0,1.6001999999999998,Non-smoker,Rarely,Sometimes,Sometimes,,Rarely,Rarely,Often,Often,Half of days,Several days,Several days,Half of days,Half of days,Several days,Several days,Nearly everyday,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,12.01 AM to 2.00 AM,16-30,7.01 AM to 9.00 AM,4-6 hours,5-7 hours,Less then once a week,Less then once a week,Three or more in week,Once or twice a week,Once or twice a week,,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Farely good
